Ticket Number,Category,Issue Description,Priority,Status,Department,Assigned To,Date Created,Date Updated,Resolution,Notes,Attachments
TKT6263,Maintenance Request,Routine maintenance required for Welding Equipment as per schedule to prevent potential breakdowns.,Medium,In Progress,Maintenance,Jack Davis,2024-02-01 17:09,2024-02-05 17:09,,Follow up required,
TKT8959,Maintenance Request,Routine maintenance required for Milling Machine as per schedule to prevent potential breakdowns.,Low,In Progress,Maintenance,John Smith,2024-02-23 17:09,2024-02-23 17:09,,Follow up required,Image of affected part
TKT3228,Maintenance Request,Routine maintenance required for Welding Equipment as per schedule to prevent potential breakdowns.,High,Open,Maintenance,John Smith,2024-03-04 17:09,2024-03-04 17:09,,,Image of affected part
TKT1575,Maintenance Request,Routine maintenance required for Welding Equipment as per schedule to prevent potential breakdowns.,Low,In Progress,Safety,Mike Brown,2024-04-04 17:09,2024-04-07 17:09,,Follow up required,Image of affected part
TKT6852,Maintenance Request,Routine maintenance required for CNC Router as per schedule to prevent potential breakdowns.,Low,Open,Maintenance,Sara Moore,2024-02-05 17:09,2024-02-05 17:09,,,
TKT2639,Maintenance Request,Routine maintenance required for Milling Machine as per schedule to prevent potential breakdowns.,Medium,Closed,Safety,Alice Johnson,2024-01-20 17:09,2024-01-21 17:09,Repaired hydraulic arm. Equipment now fully operational.,,Image of affected part
TKT4279,Maintenance Request,Routine maintenance required for Milling Machine as per schedule to prevent potential breakdowns.,Low,Closed,Maintenance,Carol Taylor,2024-03-25 17:09,2024-03-30 17:09,Calibrated upgraded software. Equipment now fully operational.,,Image of affected part
TKT6411,Maintenance Request,Routine maintenance required for Hydraulic Press as per schedule to prevent potential breakdowns.,High,In Progress,Maintenance,Bob Lee,2024-04-11 17:09,2024-04-11 17:09,,Follow up required,Image of affected part
TKT9610,Maintenance Request,Routine maintenance required for CNC Router as per schedule to prevent potential breakdowns.,Low,Open,Quality Control,Bob Lee,2024-02-26 17:09,2024-02-26 17:09,,,Image of affected part
TKT9366,Maintenance Request,Routine maintenance required for Engine Lathe as per schedule to prevent potential breakdowns.,High,Closed,Maintenance,Bob Lee,2024-03-12 17:09,2024-03-12 17:09,Updated hydraulic arm. Equipment now requires further testing.,,Image of affected part
TKT7800,Maintenance Request,Routine maintenance required for Milling Machine as per schedule to prevent potential breakdowns.,Medium,Closed,Safety,Tom Clark,2024-02-11 17:09,2024-02-16 17:09,Calibrated new spindle. Equipment now requires further testing.,,Image of affected part
TKT3692,Safety Concern,Report of potential safety hazard related to the operation of Hydraulic Press. Needs urgent evaluation.,High,In Progress,Quality Control,Alice Johnson,2024-02-20 17:09,2024-02-22 17:09,,Follow up required,
TKT4015,Safety Concern,Report of potential safety hazard related to the operation of Engine Lathe. Needs urgent evaluation.,High,Open,Maintenance,Alice Johnson,2024-02-21 17:09,2024-02-21 17:09,,,Image of affected part
TKT5172,Safety Concern,Report of potential safety hazard related to the operation of Engine Lathe. Needs urgent evaluation.,High,Open,Maintenance,Jack Davis,2024-03-14 17:09,2024-03-14 17:09,,,Image of affected part
TKT7647,Safety Concern,Report of potential safety hazard related to the operation of Engine Lathe. Needs urgent evaluation.,High,In Progress,Maintenance,John Smith,2024-03-08 17:09,2024-03-13 17:09,,Follow up required,
TKT4209,Safety Concern,Report of potential safety hazard related to the operation of CNC Router. Needs urgent evaluation.,Low,In Progress,Safety,Jane Doe,2024-02-23 17:09,2024-02-28 17:09,,Follow up required,Image of affected part
TKT3403,Safety Concern,Report of potential safety hazard related to the operation of Engine Lathe. Needs urgent evaluation.,High,Closed,Quality Control,Sara Moore,2024-01-23 17:09,2024-01-28 17:09,Updated replacement motor. Equipment now performance improved.,,Image of affected part
TKT5022,Safety Concern,Report of potential safety hazard related to the operation of Engine Lathe. Needs urgent evaluation.,High,Closed,Safety,Alice Johnson,2024-02-29 17:09,2024-02-29 17:09,Installed new spindle. Equipment now under observation.,,Image of affected part
TKT3900,Safety Concern,Report of potential safety hazard related to the operation of Hydraulic Press. Needs urgent evaluation.,Medium,In Progress,Safety,Jane Doe,2024-01-29 17:09,2024-01-29 17:09,,Follow up required,
TKT3212,Safety Concern,Report of potential safety hazard related to the operation of Hydraulic Press. Needs urgent evaluation.,Low,Open,Safety,Jane Doe,2024-02-28 17:09,2024-02-28 17:09,,,Image of affected part
TKT5717,Safety Concern,Report of potential safety hazard related to the operation of CNC Router. Needs urgent evaluation.,Low,Open,Safety,Jack Davis,2024-03-13 17:09,2024-03-13 17:09,,,
TKT4100,Safety Concern,Report of potential safety hazard related to the operation of Hydraulic Press. Needs urgent evaluation.,Low,In Progress,Maintenance,Alice Johnson,2024-01-25 17:09,2024-01-28 17:09,,Follow up required,Image of affected part
TKT8051,Safety Concern,Report of potential safety hazard related to the operation of Welding Equipment. Needs urgent evaluation.,High,Open,Safety,Mike Brown,2024-03-16 17:09,2024-03-16 17:09,,,
TKT3198,Safety Concern,Report of potential safety hazard related to the operation of Engine Lathe. Needs urgent evaluation.,Medium,Open,Maintenance,John Smith,2024-02-20 17:09,2024-02-20 17:09,,,Image of affected part
TKT7727,Safety Concern,Report of potential safety hazard related to the operation of Hydraulic Press. Needs urgent evaluation.,High,In Progress,Safety,Alice Johnson,2024-02-13 17:09,2024-02-18 17:09,,Follow up required,Image of affected part
TKT3269,Safety Concern,Report of potential safety hazard related to the operation of Milling Machine. Needs urgent evaluation.,Low,Open,Quality Control,Laura Wilson,2024-03-06 17:09,2024-03-06 17:09,,,
TKT5242,Safety Concern,Report of potential safety hazard related to the operation of Welding Equipment. Needs urgent evaluation.,High,In Progress,Quality Control,Jack Davis,2024-02-29 17:09,2024-03-05 17:09,,Follow up required,
TKT3540,Safety Concern,Report of potential safety hazard related to the operation of Hydraulic Press. Needs urgent evaluation.,Medium,Closed,Safety,Sara Moore,2024-02-08 17:09,2024-02-10 17:09,Repaired replacement motor. Equipment now performance improved.,,
TKT9898,Safety Concern,Report of potential safety hazard related to the operation of Milling Machine. Needs urgent evaluation.,Low,Open,Maintenance,Sara Moore,2024-03-18 17:09,2024-03-18 17:09,,,
TKT5848,Safety Concern,Report of potential safety hazard related to the operation of Milling Machine. Needs urgent evaluation.,Medium,Open,Safety,Laura Wilson,2024-03-30 17:09,2024-03-30 17:09,,,Image of affected part
TKT8618,Safety Concern,Report of potential safety hazard related to the operation of Welding Equipment. Needs urgent evaluation.,Low,Open,Maintenance,Carol Taylor,2024-02-10 17:09,2024-02-10 17:09,,,
TKT3500,Safety Concern,Report of potential safety hazard related to the operation of Welding Equipment. Needs urgent evaluation.,High,In Progress,Safety,Bob Lee,2024-01-28 17:09,2024-01-28 17:09,,Follow up required,Image of affected part
TKT4835,Safety Concern,Report of potential safety hazard related to the operation of Welding Equipment. Needs urgent evaluation.,Medium,Open,Maintenance,Mike Brown,2024-02-06 17:09,2024-02-06 17:09,,,
TKT5032,Safety Concern,Report of potential safety hazard related to the operation of Engine Lathe. Needs urgent evaluation.,Medium,Closed,Maintenance,Jane Doe,2024-04-01 17:09,2024-04-02 17:09,Updated replacement motor. Equipment now issue resolved.,,Image of affected part
TKT3847,Safety Concern,Report of potential safety hazard related to the operation of Welding Equipment. Needs urgent evaluation.,High,Closed,Safety,Alice Johnson,2024-03-12 17:09,2024-03-17 17:09,Calibrated pressure sensor. Equipment now issue resolved.,,
TKT9333,Safety Concern,Report of potential safety hazard related to the operation of Hydraulic Press. Needs urgent evaluation.,Low,In Progress,Safety,Jack Davis,2024-03-14 17:09,2024-03-16 17:09,,Follow up required,
TKT9205,Safety Concern,Report of potential safety hazard related to the operation of Welding Equipment. Needs urgent evaluation.,Low,In Progress,Safety,Mike Brown,2024-01-21 17:09,2024-01-26 17:09,,Follow up required,
TKT3004,Safety Concern,Report of potential safety hazard related to the operation of Welding Equipment. Needs urgent evaluation.,High,Closed,Maintenance,Alice Johnson,2024-01-26 17:09,2024-01-26 17:09,Replaced replacement motor. Equipment now issue resolved.,,
TKT6149,Safety Concern,Report of potential safety hazard related to the operation of Welding Equipment. Needs urgent evaluation.,Low,Open,Quality Control,Mike Brown,2024-01-20 17:09,2024-01-20 17:09,,,
TKT4804,Safety Concern,Report of potential safety hazard related to the operation of Milling Machine. Needs urgent evaluation.,Medium,Open,Maintenance,Carol Taylor,2024-01-24 17:09,2024-01-24 17:09,,,Image of affected part
TKT4266,Safety Concern,Report of potential safety hazard related to the operation of Welding Equipment. Needs urgent evaluation.,Low,Open,Quality Control,Alice Johnson,2024-01-28 17:09,2024-01-28 17:09,,,Image of affected part
TKT5865,Safety Concern,Report of potential safety hazard related to the operation of Welding Equipment. Needs urgent evaluation.,Medium,In Progress,Maintenance,Laura Wilson,2024-01-25 17:09,2024-01-25 17:09,,Follow up required,
TKT4935,Safety Concern,Report of potential safety hazard related to the operation of Milling Machine. Needs urgent evaluation.,Medium,Closed,Safety,Alice Johnson,2024-02-15 17:09,2024-02-20 17:09,Installed upgraded software. Equipment now issue resolved.,,Image of affected part
TKT9937,Safety Concern,Report of potential safety hazard related to the operation of CNC Router. Needs urgent evaluation.,Low,Open,Quality Control,John Smith,2024-04-11 17:09,2024-04-11 17:09,,,
TKT7902,Safety Concern,Report of potential safety hazard related to the operation of Welding Equipment. Needs urgent evaluation.,Low,Open,Safety,Mike Brown,2024-03-03 17:09,2024-03-03 17:09,,,Image of affected part
TKT6514,Safety Concern,Report of potential safety hazard related to the operation of Engine Lathe. Needs urgent evaluation.,High,In Progress,Maintenance,Jane Doe,2024-04-04 17:09,2024-04-06 17:09,,Follow up required,
TKT7049,Safety Concern,Report of potential safety hazard related to the operation of Milling Machine. Needs urgent evaluation.,High,Open,Safety,Alice Johnson,2024-02-27 17:09,2024-02-27 17:09,,,Image of affected part
TKT3628,Safety Concern,Report of potential safety hazard related to the operation of Hydraulic Press. Needs urgent evaluation.,Low,In Progress,Safety,John Smith,2024-03-27 17:09,2024-03-30 17:09,,Follow up required,Image of affected part
TKT6624,Safety Concern,Report of potential safety hazard related to the operation of CNC Router. Needs urgent evaluation.,Medium,Open,Safety,Laura Wilson,2024-03-16 17:09,2024-03-16 17:09,,,
TKT1568,Safety Concern,Report of potential safety hazard related to the operation of CNC Router. Needs urgent evaluation.,Medium,Open,Quality Control,Laura Wilson,2024-02-21 17:09,2024-02-21 17:09,,,
TKT8724,Safety Concern,Report of potential safety hazard related to the operation of Hydraulic Press. Needs urgent evaluation.,Low,In Progress,Maintenance,Alice Johnson,2024-02-15 17:09,2024-02-17 17:09,,Follow up required,Image of affected part
TKT8056,Safety Concern,Report of potential safety hazard related to the operation of Milling Machine. Needs urgent evaluation.,Medium,In Progress,Quality Control,Sara Moore,2024-03-13 17:09,2024-03-18 17:09,,Follow up required,Image of affected part
TKT6065,Safety Concern,Report of potential safety hazard related to the operation of Hydraulic Press. Needs urgent evaluation.,Medium,Closed,Maintenance,Alice Johnson,2024-03-08 17:09,2024-03-12 17:09,Updated new spindle. Equipment now under observation.,,Image of affected part
TKT4882,Safety Concern,Report of potential safety hazard related to the operation of Hydraulic Press. Needs urgent evaluation.,Low,In Progress,Safety,Laura Wilson,2024-01-16 17:09,2024-01-17 17:09,,Follow up required,Image of affected part
TKT3270,Safety Concern,Report of potential safety hazard related to the operation of Hydraulic Press. Needs urgent evaluation.,Medium,Open,Quality Control,Sara Moore,2024-02-20 17:09,2024-02-20 17:09,,,
TKT1659,Safety Concern,Report of potential safety hazard related to the operation of CNC Router. Needs urgent evaluation.,Low,Closed,Maintenance,John Smith,2024-01-23 17:09,2024-01-27 17:09,Installed new spindle. Equipment now requires further testing.,,Image of affected part
TKT1099,Safety Concern,Report of potential safety hazard related to the operation of Hydraulic Press. Needs urgent evaluation.,High,Open,Safety,John Smith,2024-03-06 17:09,2024-03-06 17:09,,,
TKT5492,Safety Concern,Report of potential safety hazard related to the operation of Welding Equipment. Needs urgent evaluation.,High,In Progress,Safety,Bob Lee,2024-01-16 17:09,2024-01-21 17:09,,Follow up required,
TKT9484,Safety Concern,Report of potential safety hazard related to the operation of Milling Machine. Needs urgent evaluation.,High,Open,Quality Control,Carol Taylor,2024-03-05 17:09,2024-03-05 17:09,,,Image of affected part
TKT5829,Safety Concern,Report of potential safety hazard related to the operation of Engine Lathe. Needs urgent evaluation.,High,Open,Safety,Jane Doe,2024-04-12 17:09,2024-04-12 17:09,,,Image of affected part
TKT1726,Safety Concern,Report of potential safety hazard related to the operation of Welding Equipment. Needs urgent evaluation.,High,Open,Safety,Jane Doe,2024-01-13 17:09,2024-01-13 17:09,,,Image of affected part
TKT7000,Training Request,Request for operational training on Welding Equipment to improve team efficiency and safety compliance.,Low,Closed,Quality Control,Jane Doe,2024-01-24 17:09,2024-01-26 17:09,Replaced pressure sensor. Equipment now issue resolved.,,Image of affected part
TKT9163,Training Request,Request for operational training on CNC Router to improve team efficiency and safety compliance.,High,Closed,Maintenance,Jack Davis,2024-02-07 17:09,2024-02-08 17:09,Updated pressure sensor. Equipment now fully operational.,,Image of affected part
TKT7176,Training Request,Request for operational training on Engine Lathe to improve team efficiency and safety compliance.,Medium,In Progress,Maintenance,Alice Johnson,2024-03-27 17:09,2024-03-27 17:09,,Follow up required,Image of affected part
TKT8501,Training Request,Request for operational training on Engine Lathe to improve team efficiency and safety compliance.,High,In Progress,Safety,Jack Davis,2024-04-07 17:09,2024-04-09 17:09,,Follow up required,
TKT8893,Training Request,Request for operational training on CNC Router to improve team efficiency and safety compliance.,Medium,Closed,Maintenance,Laura Wilson,2024-01-31 17:09,2024-02-03 17:09,Calibrated new spindle. Equipment now requires further testing.,,Image of affected part
TKT8580,Training Request,Request for operational training on Welding Equipment to improve team efficiency and safety compliance.,Medium,Open,Safety,John Smith,2024-02-07 17:09,2024-02-07 17:09,,,Image of affected part
TKT4420,Training Request,Request for operational training on CNC Router to improve team efficiency and safety compliance.,Low,In Progress,Safety,John Smith,2024-03-06 17:09,2024-03-09 17:09,,Follow up required,
TKT5194,Training Request,Request for operational training on Welding Equipment to improve team efficiency and safety compliance.,High,Open,Safety,Mike Brown,2024-02-23 17:09,2024-02-23 17:09,,,Image of affected part
TKT8769,Training Request,Request for operational training on Milling Machine to improve team efficiency and safety compliance.,High,In Progress,Safety,John Smith,2024-04-05 17:09,2024-04-05 17:09,,Follow up required,
TKT2717,Training Request,Request for operational training on Hydraulic Press to improve team efficiency and safety compliance.,Medium,In Progress,Safety,John Smith,2024-01-25 17:09,2024-01-26 17:09,,Follow up required,
TKT5285,Training Request,Request for operational training on Welding Equipment to improve team efficiency and safety compliance.,Medium,Closed,Safety,Carol Taylor,2024-03-16 17:09,2024-03-18 17:09,Calibrated upgraded software. Equipment now fully operational.,,Image of affected part
TKT4924,Training Request,Request for operational training on Welding Equipment to improve team efficiency and safety compliance.,Low,In Progress,Safety,John Smith,2024-04-10 17:09,2024-04-14 17:09,,Follow up required,
TKT3517,Training Request,Request for operational training on CNC Router to improve team efficiency and safety compliance.,Low,Closed,Maintenance,Alice Johnson,2024-01-31 17:09,2024-02-03 17:09,Installed upgraded software. Equipment now fully operational.,,Image of affected part
TKT2933,Training Request,Request for operational training on CNC Router to improve team efficiency and safety compliance.,Medium,Closed,Quality Control,Sara Moore,2024-01-18 17:09,2024-01-18 17:09,Calibrated replacement motor. Equipment now fully operational.,,Image of affected part
TKT9459,Training Request,Request for operational training on Engine Lathe to improve team efficiency and safety compliance.,High,Closed,Maintenance,Bob Lee,2024-03-24 17:09,2024-03-26 17:09,Updated replacement motor. Equipment now performance improved.,,Image of affected part
TKT2543,Training Request,Request for operational training on Hydraulic Press to improve team efficiency and safety compliance.,High,Closed,Quality Control,Jack Davis,2024-02-21 17:09,2024-02-26 17:09,Repaired hydraulic arm. Equipment now requires further testing.,,
TKT4103,Training Request,Request for operational training on Hydraulic Press to improve team efficiency and safety compliance.,High,Closed,Maintenance,Sara Moore,2024-02-14 17:09,2024-02-18 17:09,Repaired pressure sensor. Equipment now fully operational.,,Image of affected part
TKT9394,Training Request,Request for operational training on CNC Router to improve team efficiency and safety compliance.,Low,In Progress,Quality Control,Mike Brown,2024-04-12 17:09,2024-04-14 17:09,,Follow up required,Image of affected part
TKT1586,Training Request,Request for operational training on CNC Router to improve team efficiency and safety compliance.,Low,Open,Maintenance,Sara Moore,2024-03-01 17:09,2024-03-01 17:09,,,Image of affected part
TKT8658,Training Request,Request for operational training on Milling Machine to improve team efficiency and safety compliance.,Low,In Progress,Maintenance,Bob Lee,2024-02-19 17:09,2024-02-19 17:09,,Follow up required,
TKT6616,Training Request,Request for operational training on Engine Lathe to improve team efficiency and safety compliance.,Medium,Closed,Maintenance,Laura Wilson,2024-03-11 17:09,2024-03-15 17:09,Installed new spindle. Equipment now under observation.,,Image of affected part
TKT2265,Training Request,Request for operational training on Engine Lathe to improve team efficiency and safety compliance.,Medium,Open,Safety,Alice Johnson,2024-02-11 17:09,2024-02-11 17:09,,,Image of affected part
TKT2581,Training Request,Request for operational training on Milling Machine to improve team efficiency and safety compliance.,High,Closed,Safety,Tom Clark,2024-04-08 17:09,2024-04-09 17:09,Repaired new spindle. Equipment now fully operational.,,Image of affected part
TKT4817,Training Request,Request for operational training on Hydraulic Press to improve team efficiency and safety compliance.,Medium,In Progress,Safety,Tom Clark,2024-02-24 17:09,2024-02-24 17:09,,Follow up required,Image of affected part
TKT5105,Training Request,Request for operational training on Engine Lathe to improve team efficiency and safety compliance.,High,Open,Maintenance,Bob Lee,2024-03-24 17:09,2024-03-24 17:09,,,
TKT5664,Training Request,Request for operational training on CNC Router to improve team efficiency and safety compliance.,Low,Open,Quality Control,Mike Brown,2024-03-24 17:09,2024-03-24 17:09,,,
TKT3316,Training Request,Request for operational training on Hydraulic Press to improve team efficiency and safety compliance.,High,Closed,Safety,Carol Taylor,2024-04-05 17:09,2024-04-09 17:09,Updated new spindle. Equipment now performance improved.,,
TKT9848,Training Request,Request for operational training on Hydraulic Press to improve team efficiency and safety compliance.,Medium,Closed,Quality Control,Laura Wilson,2024-02-24 17:09,2024-02-27 17:09,Installed upgraded software. Equipment now issue resolved.,,
TKT8616,Training Request,Request for operational training on CNC Router to improve team efficiency and safety compliance.,Low,Open,Safety,John Smith,2024-03-18 17:09,2024-03-18 17:09,,,Image of affected part
TKT8414,Training Request,Request for operational training on Engine Lathe to improve team efficiency and safety compliance.,Medium,Closed,Quality Control,John Smith,2024-01-17 17:09,2024-01-18 17:09,Replaced hydraulic arm. Equipment now performance improved.,,
TKT5340,Training Request,Request for operational training on Milling Machine to improve team efficiency and safety compliance.,High,Closed,Quality Control,Jane Doe,2024-02-15 17:09,2024-02-15 17:09,Updated pressure sensor. Equipment now under observation.,,Image of affected part
TKT4275,Training Request,Request for operational training on CNC Router to improve team efficiency and safety compliance.,Medium,Closed,Quality Control,Laura Wilson,2024-03-10 17:09,2024-03-11 17:09,Calibrated replacement motor. Equipment now performance improved.,,
TKT2876,Training Request,Request for operational training on Engine Lathe to improve team efficiency and safety compliance.,Medium,In Progress,Safety,Mike Brown,2024-02-24 17:09,2024-02-24 17:09,,Follow up required,
TKT9314,Training Request,Request for operational training on Hydraulic Press to improve team efficiency and safety compliance.,Low,Closed,Maintenance,Laura Wilson,2024-02-21 17:09,2024-02-25 17:09,Repaired new spindle. Equipment now issue resolved.,,
TKT2988,Training Request,Request for operational training on Milling Machine to improve team efficiency and safety compliance.,Medium,In Progress,Quality Control,Laura Wilson,2024-03-26 17:09,2024-03-30 17:09,,Follow up required,Image of affected part
TKT2871,Training Request,Request for operational training on Hydraulic Press to improve team efficiency and safety compliance.,Low,Closed,Safety,Tom Clark,2024-03-09 17:09,2024-03-12 17:09,Calibrated replacement motor. Equipment now fully operational.,,
TKT2506,Training Request,Request for operational training on Engine Lathe to improve team efficiency and safety compliance.,Medium,Open,Maintenance,Carol Taylor,2024-03-17 17:09,2024-03-17 17:09,,,
TKT9704,Training Request,Request for operational training on Engine Lathe to improve team efficiency and safety compliance.,Medium,Open,Maintenance,Alice Johnson,2024-03-10 17:09,2024-03-10 17:09,,,Image of affected part
TKT1416,Training Request,Request for operational training on Engine Lathe to improve team efficiency and safety compliance.,High,Open,Safety,John Smith,2024-02-23 17:09,2024-02-23 17:09,,,Image of affected part
TKT7950,Training Request,Request for operational training on Welding Equipment to improve team efficiency and safety compliance.,Medium,In Progress,Maintenance,Alice Johnson,2024-03-04 17:09,2024-03-04 17:09,,Follow up required,
TKT4901,Training Request,Request for operational training on Milling Machine to improve team efficiency and safety compliance.,Low,Open,Safety,Laura Wilson,2024-01-31 17:09,2024-01-31 17:09,,,
TKT9042,Training Request,Request for operational training on CNC Router to improve team efficiency and safety compliance.,Medium,In Progress,Maintenance,Alice Johnson,2024-02-15 17:09,2024-02-20 17:09,,Follow up required,Image of affected part
TKT2127,Training Request,Request for operational training on Hydraulic Press to improve team efficiency and safety compliance.,Low,Open,Safety,John Smith,2024-02-20 17:09,2024-02-20 17:09,,,
TKT6934,Training Request,Request for operational training on Engine Lathe to improve team efficiency and safety compliance.,High,Open,Maintenance,Sara Moore,2024-02-08 17:09,2024-02-08 17:09,,,
TKT3136,Training Request,Request for operational training on Engine Lathe to improve team efficiency and safety compliance.,Medium,Open,Safety,Laura Wilson,2024-01-16 17:09,2024-01-16 17:09,,,
TKT2345,Training Request,Request for operational training on Welding Equipment to improve team efficiency and safety compliance.,High,In Progress,Safety,Mike Brown,2024-02-21 17:09,2024-02-22 17:09,,Follow up required,
TKT4568,Training Request,Request for operational training on CNC Router to improve team efficiency and safety compliance.,High,In Progress,Maintenance,Alice Johnson,2024-01-14 17:09,2024-01-14 17:09,,Follow up required,Image of affected part
TKT1241,Training Request,Request for operational training on Welding Equipment to improve team efficiency and safety compliance.,Low,In Progress,Maintenance,Jack Davis,2024-04-01 17:09,2024-04-06 17:09,,Follow up required,Image of affected part
TKT7826,Training Request,Request for operational training on Engine Lathe to improve team efficiency and safety compliance.,High,Closed,Quality Control,Sara Moore,2024-03-03 17:09,2024-03-03 17:09,Installed upgraded software. Equipment now requires further testing.,,
TKT8597,Training Request,Request for operational training on Welding Equipment to improve team efficiency and safety compliance.,Low,In Progress,Quality Control,Laura Wilson,2024-03-21 17:09,2024-03-26 17:09,,Follow up required,Image of affected part
TKT5593,Process Improvement,Suggestion to optimize the operation process of Hydraulic Press to increase throughput and reduce waste.,Medium,Open,Maintenance,Sara Moore,2024-01-18 17:09,2024-01-18 17:09,,,
TKT8214,Process Improvement,Suggestion to optimize the operation process of Milling Machine to increase throughput and reduce waste.,Medium,Closed,Quality Control,Jane Doe,2024-04-09 17:09,2024-04-12 17:09,Replaced new spindle. Equipment now requires further testing.,,Image of affected part
TKT2380,Process Improvement,Suggestion to optimize the operation process of Engine Lathe to increase throughput and reduce waste.,High,Closed,Quality Control,Bob Lee,2024-02-26 17:09,2024-02-26 17:09,Updated pressure sensor. Equipment now issue resolved.,,
TKT5345,Process Improvement,Suggestion to optimize the operation process of Engine Lathe to increase throughput and reduce waste.,Low,Open,Quality Control,Alice Johnson,2024-03-30 17:09,2024-03-30 17:09,,,
TKT4783,Process Improvement,Suggestion to optimize the operation process of CNC Router to increase throughput and reduce waste.,High,In Progress,Quality Control,Jack Davis,2024-03-12 17:09,2024-03-12 17:09,,Follow up required,
TKT4830,Process Improvement,Suggestion to optimize the operation process of CNC Router to increase throughput and reduce waste.,Medium,Open,Safety,Bob Lee,2024-03-27 17:09,2024-03-27 17:09,,,
TKT6590,Process Improvement,Suggestion to optimize the operation process of Hydraulic Press to increase throughput and reduce waste.,High,In Progress,Maintenance,Jane Doe,2024-01-15 17:09,2024-01-17 17:09,,Follow up required,Image of affected part
TKT7535,Process Improvement,Suggestion to optimize the operation process of CNC Router to increase throughput and reduce waste.,High,Open,Quality Control,Bob Lee,2024-03-12 17:09,2024-03-12 17:09,,,Image of affected part
TKT7172,Process Improvement,Suggestion to optimize the operation process of Milling Machine to increase throughput and reduce waste.,Low,In Progress,Quality Control,Tom Clark,2024-03-19 17:09,2024-03-23 17:09,,Follow up required,Image of affected part
TKT6458,Process Improvement,Suggestion to optimize the operation process of Milling Machine to increase throughput and reduce waste.,Low,Open,Quality Control,John Smith,2024-02-06 17:09,2024-02-06 17:09,,,
TKT6879,Process Improvement,Suggestion to optimize the operation process of Welding Equipment to increase throughput and reduce waste.,Medium,In Progress,Quality Control,Alice Johnson,2024-01-22 17:09,2024-01-26 17:09,,Follow up required,Image of affected part
TKT9490,Process Improvement,Suggestion to optimize the operation process of Hydraulic Press to increase throughput and reduce waste.,Medium,In Progress,Quality Control,Bob Lee,2024-04-10 17:09,2024-04-11 17:09,,Follow up required,Image of affected part
TKT6372,Process Improvement,Suggestion to optimize the operation process of Milling Machine to increase throughput and reduce waste.,Low,Open,Maintenance,Bob Lee,2024-03-11 17:09,2024-03-11 17:09,,,
TKT9054,Process Improvement,Suggestion to optimize the operation process of Hydraulic Press to increase throughput and reduce waste.,Low,In Progress,Maintenance,Carol Taylor,2024-02-11 17:09,2024-02-14 17:09,,Follow up required,Image of affected part
TKT5265,Process Improvement,Suggestion to optimize the operation process of Welding Equipment to increase throughput and reduce waste.,High,Open,Quality Control,Alice Johnson,2024-03-18 17:09,2024-03-18 17:09,,,
TKT9370,Process Improvement,Suggestion to optimize the operation process of Hydraulic Press to increase throughput and reduce waste.,Low,Closed,Maintenance,Laura Wilson,2024-03-11 17:09,2024-03-11 17:09,Calibrated upgraded software. Equipment now requires further testing.,,Image of affected part
TKT7639,Process Improvement,Suggestion to optimize the operation process of Engine Lathe to increase throughput and reduce waste.,High,Open,Maintenance,Tom Clark,2024-02-19 17:09,2024-02-19 17:09,,,
TKT4520,Process Improvement,Suggestion to optimize the operation process of Welding Equipment to increase throughput and reduce waste.,Medium,Closed,Safety,Bob Lee,2024-03-24 17:09,2024-03-26 17:09,Installed pressure sensor. Equipment now fully operational.,,
TKT7723,Process Improvement,Suggestion to optimize the operation process of Milling Machine to increase throughput and reduce waste.,Low,Closed,Maintenance,Jane Doe,2024-03-05 17:09,2024-03-10 17:09,Updated new spindle. Equipment now requires further testing.,,
TKT1435,Process Improvement,Suggestion to optimize the operation process of Welding Equipment to increase throughput and reduce waste.,High,Closed,Safety,Tom Clark,2024-03-16 17:09,2024-03-17 17:09,Calibrated hydraulic arm. Equipment now performance improved.,,
TKT3480,Process Improvement,Suggestion to optimize the operation process of Welding Equipment to increase throughput and reduce waste.,Medium,Closed,Maintenance,John Smith,2024-03-02 17:09,2024-03-04 17:09,Replaced new spindle. Equipment now under observation.,,
TKT1292,Process Improvement,Suggestion to optimize the operation process of CNC Router to increase throughput and reduce waste.,Medium,In Progress,Maintenance,John Smith,2024-02-13 17:09,2024-02-18 17:09,,Follow up required,
TKT4548,Process Improvement,Suggestion to optimize the operation process of Milling Machine to increase throughput and reduce waste.,Medium,Open,Safety,Bob Lee,2024-03-15 17:09,2024-03-15 17:09,,,
TKT3668,Process Improvement,Suggestion to optimize the operation process of Engine Lathe to increase throughput and reduce waste.,Medium,Closed,Quality Control,Alice Johnson,2024-01-20 17:09,2024-01-21 17:09,Installed hydraulic arm. Equipment now performance improved.,,Image of affected part
TKT7928,Process Improvement,Suggestion to optimize the operation process of Milling Machine to increase throughput and reduce waste.,Medium,Open,Safety,Jane Doe,2024-02-20 17:09,2024-02-20 17:09,,,
TKT2665,Process Improvement,Suggestion to optimize the operation process of Welding Equipment to increase throughput and reduce waste.,High,In Progress,Maintenance,Bob Lee,2024-03-14 17:09,2024-03-15 17:09,,Follow up required,
TKT3045,Process Improvement,Suggestion to optimize the operation process of Engine Lathe to increase throughput and reduce waste.,Low,In Progress,Safety,Alice Johnson,2024-02-08 17:09,2024-02-11 17:09,,Follow up required,
